,Instance,,,,,Instance,,,,
Experiments,1,2,3,4,5,1,2,3,4,5
1,"4,216826","3,539897","0,009659","6,085467","5,413194","6,127882","18,365272","26,977819","35,983574","45,212996"
2,"4,265587","2,842543","0,004983","6,089148","5,346357","5,57425","18,635003","26,806025","35,777755","44,290519"
3,"4,19293","2,146276","0,006096","6,217112","5,421094","5,53296","17,393821","26,021122","35,514048","45,152132"
4,"4,173671","2,095773","0,005626","6,13472","5,497705","5,715346","17,614156","26,599553","35,565762","43,317708"
5,"4,199491","2,095771","0,00541","6,212008","5,344733","5,797461","17,809306","26,895069","35,891668","43,800261"
6,"4,196916","2,096213","0,004917","5,733583","5,419484","6,047752","18,098715","26,302721","35,593743","44,912141"
7,"4,208434","2,097148","0,003803","6,1585","5,547202","6,612178","17,689082","26,525753","35,800153","45,042086"
8,"4,181332","2,093221","0,002315","6,173192","5,30304","7,055066","17,752883","24,195395","34,852819","43,982575"
9,"4,179094","2,108633","0,005551","6,148036","5,512011","7,976357","17,744968","26,219026","35,940635","45,111824"
10,"4,190389","2,090476","0,006074","6,157132","5,44719","9,136238","17,496251","26,747719","37,183685","44,796329"
11,"4,206881","2,15781","0,004296","5,762932","5,46171","7,310336","17,695521","26,792086","36,046577","44,809904"
12,"4,19081","2,222743","0,005694","6,114923","5,379219","7,973966","17,828348","26,798736","34,562618","45,037247"
13,"4,267573","2,181726","0,007139","6,141129","5,348227","8,724133","17,571965","26,828767","28,842308","44,941082"
14,"4,334371","2,205218","0,006729","5,890025","5,485002","8,32672","17,568134","26,735406","36,108024","45,150896"
15,"4,371115","2,196579","0,007514","6,100261","5,352433","8,33572","17,519966","24,209271","35,744847","43,231831"
AVG,"4,225028","2,2780018","0,0057204","6,07454453333333","5,4185734","7,083091","17,7855594","26,3102978666667","35,2938810666667","44,5859687333333"
Speed-up,"1,67646013233522","7,80752649097995","4599,38078922221","5,81012796482037","8,22835928241432",,,,,
